time	ms	value
10:27:26	2435684	944
10:27:27	2436628	932
10:27:28	2437560	940
10:27:29	2438500	916
10:27:30	2439416	932
10:27:31	2440348	956
10:27:32	2441304	920
10:27:33	2442224	940
10:27:34	2443164	952
10:27:35	2444116	920
10:27:36	2445036	944
10:27:36	2445980	940
10:27:37	2446920	956
10:27:38	2447876	944
10:27:39	2448820	976
10:27:40	2449796	952
10:27:41	2450748	972
10:27:42	2451720	960
10:27:43	2452680	948
10:27:44	2453628	972
10:27:45	2454600	936
10:27:46	2455536	952
10:27:47	2456488	960
10:27:48	2457448	952
10:27:49	2458400	904
10:27:50	2459304	912
10:27:51	2460216	940
10:27:52	2461156	948
10:27:53	2462104	956
10:27:54	2463060	964
10:27:55	2464024	940
10:27:55	2464964	964
10:27:56	2465928	972
10:27:57	2466900	988
10:27:58	2467888	1004
10:27:59	2468892	980
10:28:00	2469872	1000
10:28:01	2470872	1012
10:28:02	2471884	1016
10:28:03	2472900	1040
10:28:04	2473940	1064
10:28:06	2475004	1064
10:28:07	2476068	1064
10:28:08	2477132	1056
10:28:09	2478188	1060
10:28:10	2479248	1044
10:28:11	2480292	988
10:28:12	2481280	1008
10:28:13	2482288	1004
10:28:14	2483292	1012
10:28:15	2484304	972
10:28:16	2485276	988
10:28:17	2486264	1016
10:28:18	2487280	1024
10:28:19	2488304	1028
10:28:20	2489332	1036
10:28:21	2490368	1004
10:28:22	2491372	1008
10:28:23	2492380	996
10:28:24	2493376	960
10:28:25	2494336	948
10:28:26	2495284	928
10:28:27	2496212	952
10:28:28	2497164	984
10:28:29	2498148	988
10:28:30	2499136	952
10:28:31	2500088	1008
10:28:32	2501096	1036
10:28:33	2502132	988
10:28:34	2503120	1036
10:28:35	2504156	1032
10:28:36	2505188	976
10:28:37	2506164	1024
10:28:38	2507188	1044
10:28:39	2508232	1028
10:28:40	2509260	1016
10:28:41	2510276	1056
10:28:42	2511332	1072
10:28:43	2512404	1028
10:28:44	2513432	1044
10:28:45	2514476	1060
10:28:46	2515536	1072
10:28:47	2516608	1072
10:28:48	2517680	1044
10:28:49	2518724	1012
10:28:50	2519736	1028
10:28:51	2520764	1028
10:28:52	2521792	1036
10:28:53	2522828	1036
10:28:54	2523864	1036
10:28:55	2524900	1020
10:28:56	2525920	1012
10:28:57	2526932	1028
10:28:58	2527960	1048
10:29:00	2529008	1048
10:29:01	2530056	1024
10:29:02	2531080	1052
10:29:03	2532132	1064
10:29:04	2533196	1048
10:29:05	2534244	1060
10:29:06	2535304	1064
10:29:07	2536368	1036
10:29:08	2537404	1044
10:29:09	2538448	1044
10:29:10	2539492	1016
10:29:11	2540508	1032
10:29:12	2541540	1028
10:29:13	2542568	1000
10:29:14	2543568	1020
10:29:15	2544588	1028
10:29:16	2545616	992
10:29:17	2546608	1036
10:29:18	2547644	1064
10:29:19	2548708	1040
10:29:20	2549748	1044
10:29:21	2550792	992
10:29:22	2551784	1000
10:29:23	2552784	984
10:29:24	2553768	944
10:29:25	2554712	960
10:29:26	2555672	968
10:29:27	2556640	984
10:29:28	2557624	964
10:29:29	2558588	1036
10:29:30	2559624	1056
10:29:31	2560680	1068
10:29:32	2561748	1012
10:29:33	2562760	1044
10:29:34	2563804	1040
10:29:35	2564844	1008
10:29:36	2565852	1008
10:29:37	2566860	1008
10:29:38	2567868	980
10:29:39	2568848	1012
10:29:40	2569860	1016
10:29:41	2570876	984
10:29:42	2571860	1012
10:29:43	2572872	1016
10:29:44	2573888	1036
10:29:45	2574924	1064
10:29:46	2575988	1036
10:29:48	2577024	1080
10:29:49	2578104	1084
10:29:50	2579188	1076
10:29:51	2580264	1096
10:29:52	2581360	1076
10:29:53	2582436	1104
10:29:54	2583540	1100
10:29:55	2584640	1084
10:29:56	2585724	1112
10:29:57	2586836	1104
10:29:58	2587940	1116
10:30:00	2589056	1124
10:30:01	2590180	1128
10:30:02	2591308	1172
10:30:03	2592480	1080
10:30:04	2593560	1120
10:30:05	2594680	1084
10:30:06	2595764	1084
10:30:07	2596848	1032
10:30:08	2597880	1048
10:30:09	2598928	1020
10:30:10	2599948	1036
10:30:11	2600984	984
10:30:12	2601968	984
10:30:13	2602952	996
10:30:14	2603948	972
10:30:15	2604920	936
10:30:16	2605856	940
10:30:17	2606796	964
10:30:18	2607760	968
10:30:19	2608728	948
10:30:20	2609676	976
10:30:21	2610652	968
10:30:22	2611620	948
10:30:23	2612568	968
10:30:24	2613536	1008
10:30:25	2614544	1028
10:30:26	2615572	1016
10:30:27	2616588	1040
10:30:28	2617628	1088
10:30:29	2618716	1100
10:30:30	2619816	1076
10:30:31	2620892	1068
10:30:32	2621960	1100
10:30:34	2623060	1100
10:30:35	2624160	1060
10:30:36	2625220	1088
10:30:37	2626308	1080
10:30:38	2627388	1068
10:30:39	2628456	1076
10:30:40	2629532	1020
10:30:41	2630552	1008
10:30:42	2631560	1048
10:30:43	2632608	1036
10:30:44	2633644	996
10:30:45	2634640	980
10:30:46	2635620	1008
10:30:47	2636628	1028
10:30:48	2637656	1040
10:30:49	2638696	1056
10:30:50	2639752	1036
10:30:51	2640788	1080
10:30:52	2641868	1096
10:30:53	2642964	1088
10:30:55	2644052	1088
